Invoice ID,first_name,last_name,address,phone1,phone2,email,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,CITY,STATE
750-67-8428,James,Butt,6649 N Blue Gum St,504-621-8927,504-845-1427,jbutt@gmail.com,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,1/5/19,13:08,Ewallet,522.83,4.761904762,26.1415,9.1,New Orleans,LA
226-31-3081,Josephine,Darakjy,4 B Blue Ridge Blvd,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/19,10:29,Cash,76.4,4.761904762,3.82,9.6,Brighton,MI
631-41-3108,Art,Venere,8 W Cerritos Ave #54,856-636-8749,856-264-4130,art@venere.org,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/19,13:23,Credit card,324.31,4.761904762,16.2155,7.4,Bridgeport,NJ
123-19-1176,Lenna,Paprocki,639 Main St,907-385-4412,907-921-2010,lpaprocki@hotmail.com,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,1/27/19,20:33,Ewallet,465.76,4.761904762,23.288,8.4,Anchorage,AK
373-73-7910,Donette,Foller,34 Center St,513-570-1893,513-549-4561,donette.foller@cox.net,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2/8/19,10:37,Ewallet,604.17,4.761904762,30.2085,5.3,Hamilton,OH
699-14-3026,Simona,Morasca,3 Mcauley Dr,419-503-2484,419-800-6759,simona@morasca.com,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,3/25/19,18:30,Ewallet,597.73,4.761904762,29.8865,4.1,Ashland,OH
355-53-5943,Mitsue,Tollner,7 Eads St,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/19,14:36,Ewallet,413.04,4.761904762,20.652,5.8,Chicago,IL
315-22-5665,Leota,Dilliard,7 W Jackson Blvd,408-752-3500,408-813-1105,leota@hotmail.com,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/19,11:38,Ewallet,735.6,4.761904762,36.78,8,San Jose,CA
665-32-9167,Sage,Wieser,5 Boston Ave #88,605-414-2147,605-794-4895,sage_wieser@cox.net,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,1/10/19,17:15,Credit card,72.52,4.761904762,3.626,7.2,Sioux Falls,SD
692-92-5582,Kris,Marrier,228 Runamuck Pl #2808,410-655-8723,410-804-4694,kris@gmail.com,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/19,13:27,Credit card,164.52,4.761904762,8.226,5.9,Baltimore,MD
351-62-0822,Minna,Amigon,2371 Jerrold Ave,215-874-1229,215-422-8694,minna_amigon@yahoo.com,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2/6/19,18:07,Ewallet,57.92,4.761904762,2.896,4.5,Kulpsville,PA
529-56-3974,Abel,Maclead,37275 St  Rt 17m M,631-335-3414,631-677-3675,amaclead@gmail.com,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,3/9/19,17:03,Cash,102.04,4.761904762,5.102,6.8,Middle Island,NY
365-64-0515,Kiley,Caldarera,25 E 75th St #69,310-498-5651,310-254-3084,kiley.caldarera@aol.com,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2/12/19,10:25,Ewallet,234.75,4.761904762,11.7375,7.1,Los Angeles,CA
252-56-2699,Graciela,Ruta,98 Connecticut Ave Nw,440-780-8425,440-579-7763,gruta@cox.net,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2/7/19,16:48,Ewallet,431.9,4.761904762,21.595,8.2,Chagrin Falls,OH
829-34-3910,Cammy,Albares,56 E Morehead St,956-537-6195,956-841-7216,calbares@gmail.com,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,3/29/19,19:21,Cash,713.8,4.761904762,35.69,5.7,Laredo,TX
299-46-1805,Mattie,Poquette,73 State Road 434 E,602-277-4385,602-953-6360,mattie@aol.com,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,1/15/19,16:19,Cash,562.32,4.761904762,28.116,4.5,Phoenix,AZ
656-95-9349,Meaghan,Garufi,69734 E Carrillo St,931-313-9635,931-235-7959,meaghan@hotmail.com,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,3/11/19,11:03,Credit card,482.51,4.761904762,24.1255,4.6,Mc Minnville,TN
765-26-6951,Gladys,Rim,322 New Horizon Blvd,414-661-9598,414-377-2880,gladys.rim@rim.org,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,1/1/19,10:39,Credit card,435.66,4.761904762,21.783,6.9,Milwaukee,WI
329-62-1586,Yuki,Whobrey,1 State Route 27,313-288-7937,313-341-4470,yuki_whobrey@aol.com,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,1/21/19,18:00,Credit card,164.01,4.761904762,8.2005,8.6,Taylor,MI
319-50-3348,Fletcher,Flosi,394 Manchester Blvd,815-828-2147,815-426-5657,fletcher.flosi@yahoo.com,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,3/11/19,15:30,Ewallet,80.6,4.761904762,4.03,4.4,Rockford,IL
300-71-4605,Bette,Nicka,6 S 33rd St,610-545-3615,610-492-4643,bette_nicka@cox.net,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2/25/19,11:24,Ewallet,430.2,4.761904762,21.51,4.8,Aston,PA
371-85-5789,Veronika,Inouye,6 Greenleaf Ave,408-540-1785,408-813-4592,vinouye@aol.com,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,3/5/19,10:40,Ewallet,263.94,4.761904762,13.197,5.1,San Jose,CA
273-16-6619,Willard,Kolmetz,618 W Yakima Ave,972-303-9197,972-896-4882,willard@hotmail.com,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,3/15/19,12:20,Credit card,66.4,4.761904762,3.32,4.4,Irving,TX
636-48-8204,Maryann,Royster,74 S Westgate St,518-966-7987,518-448-8982,mroyster@royster.com,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/19,11:15,Ewallet,172.8,4.761904762,8.64,9.9,Albany,NY
